Image,PSNR (dB),SSIM,Accuracy (%),RMSE
20723.jpg,28.39,0.8231,92.51,9.7
20724.jpg,25.05,0.6879,77.4,14.25
20725.jpg,27.9,0.7386,90.58,10.27
20727.jpg,23.46,0.6428,80.73,17.11
2073.jpg,25.91,0.7403,80.55,12.91
20730.jpg,26.88,0.689,83.18,11.55
20733.jpg,27.99,0.7775,90.37,10.16
20736.jpg,27.21,0.7872,87.27,11.12
20751.jpg,27.13,0.772,89.51,11.23
20759.jpg,23.92,0.6938,77.77,16.24
20763.jpg,24.27,0.6446,75.17,15.59
20769.jpg,29.15,0.8191,91.98,8.89
20774.jpg,26.52,0.704,83.94,12.04
20780.jpg,25.43,0.7519,81.75,13.64
20782.jpg,24.58,0.6283,75.8,15.05
20790.jpg,26.45,0.7384,83.99,12.13
20802.jpg,25.61,0.7003,84.0,13.37
20805.jpg,26.78,0.7525,84.83,11.68
20811.jpg,28.0,0.7981,94.17,10.15
20820.jpg,28.52,0.8267,92.56,9.57
20824.jpg,27.69,0.7,88.08,10.52
20835.jpg,29.51,0.8465,92.15,8.53
20855.jpg,20.92,0.5794,66.6,22.94
20856.jpg,27.38,0.8363,92.81,10.91
2086.jpg,27.32,0.7826,91.41,10.98
20864.jpg,29.44,0.8087,92.96,8.6
20866.jpg,25.17,0.6499,81.06,14.06
20868.jpg,27.06,0.7554,86.13,11.31
20876.jpg,27.27,0.7044,87.31,11.04
20877.jpg,26.8,0.785,83.63,11.65
20879.jpg,28.16,0.7579,89.73,9.97
20881.jpg,25.25,0.6961,78.33,13.93
20884.jpg,26.56,0.7239,83.3,11.98
20891.jpg,28.19,0.8575,91.92,9.93
20907.jpg,27.08,0.7687,87.65,11.29
20909.jpg,27.33,0.8304,88.37,10.96
20910.jpg,30.34,0.8293,95.74,7.75
20911.jpg,32.19,0.8523,98.83,6.26
20920.jpg,28.37,0.8656,92.5,9.73
20930.jpg,24.84,0.6376,76.41,14.6
20938.jpg,25.29,0.6932,82.79,13.87
20942.jpg,23.32,0.6423,81.89,17.4
20944.jpg,27.53,0.7438,91.37,10.71
20955.jpg,27.23,0.7599,86.59,11.09
20957.jpg,28.74,0.7805,91.6,9.33
20977.jpg,25.68,0.6489,80.67,13.26
20982.jpg,28.96,0.8208,92.61,9.09
20983.jpg,27.64,0.725,88.43,10.58
20997.jpg,28.13,0.8211,90.87,10.0
21.jpg,26.68,0.7486,87.39,11.82
21005.jpg,28.22,0.8192,91.43,9.9
21006.jpg,28.6,0.7955,90.98,9.47
21009.jpg,28.33,0.7085,87.84,9.77
2101.jpg,27.97,0.7438,88.9,10.19
2102.jpg,27.76,0.8054,91.48,10.44
21024.jpg,29.01,0.8322,95.81,9.04
21025.jpg,23.73,0.8007,86.73,16.61
21040.jpg,30.18,0.8346,95.82,7.9
21044.jpg,27.16,0.7262,86.95,11.19
2105.jpg,29.87,0.8153,94.05,8.18
21056.jpg,32.53,0.8905,99.11,6.02
21059.jpg,23.25,0.6569,71.88,17.54
21068.jpg,23.1,0.7558,82.74,17.86
21079.jpg,27.48,0.7277,85.43,10.78
21082.jpg,21.67,0.6767,72.04,21.04
