Image,PSNR (dB),SSIM,Accuracy (%),RMSE
3699.jpg,26.8,0.7041,84.69,11.66
37.jpg,28.69,0.8397,92.72,9.38
3708.jpg,25.96,0.7585,84.08,12.84
3713.jpg,24.91,0.5631,73.99,14.49
3714.jpg,26.67,0.7383,87.03,11.83
3716.jpg,29.34,0.8101,92.83,8.7
3717.jpg,30.42,0.8183,95.19,7.68
3720.jpg,21.28,0.5758,71.84,22.0
3721.jpg,23.36,0.7075,86.95,17.32
3722.jpg,25.2,0.6735,80.19,14.01
3728.jpg,28.92,0.7942,92.9,9.13
3732.jpg,24.17,0.6519,75.52,15.78
3739.jpg,24.27,0.6198,73.6,15.6
3741.jpg,26.02,0.7252,86.24,12.75
376.jpg,24.45,0.6465,76.75,15.28
378.jpg,27.85,0.789,89.77,10.33
3796.jpg,26.09,0.7615,86.51,12.65
3802.jpg,29.13,0.8062,91.52,8.91
3808.jpg,25.1,0.6176,77.95,14.18
3820.jpg,26.33,0.7288,84.53,12.3
3821.jpg,24.32,0.6408,75.9,15.5
3832.jpg,25.67,0.7145,80.57,13.28
3834.jpg,24.55,0.6577,77.23,15.11
3840.jpg,25.82,0.6117,76.64,13.05
3846.jpg,31.76,0.8807,98.02,6.59
386.jpg,28.37,0.8113,90.66,9.73
3869.jpg,27.73,0.7852,89.69,10.48
3877.jpg,27.46,0.751,86.23,10.8
3878.jpg,25.75,0.605,79.36,13.15
3888.jpg,28.6,0.7768,90.01,9.47
3911.jpg,28.74,0.7537,91.15,9.32
3915.jpg,25.13,0.6313,77.41,14.12
3920.jpg,26.95,0.7396,85.98,11.46
3926.jpg,25.21,0.749,79.89,14.0
393.jpg,24.63,0.6727,81.13,14.97
3935.jpg,28.63,0.773,91.6,9.44
3937.jpg,27.36,0.7112,86.42,10.92
3938.jpg,27.11,0.718,85.66,11.25
3939.jpg,28.07,0.8599,91.1,10.07
3940.jpg,27.08,0.6632,89.08,11.28
3947.jpg,28.03,0.6787,88.15,10.11
3953.jpg,30.53,0.83,95.32,7.58
3956.jpg,29.29,0.8111,93.36,8.76
3967.jpg,22.32,0.6017,74.4,19.53
3972.jpg,27.51,0.7719,88.94,10.74
3987.jpg,27.62,0.7584,90.3,10.6
3998.jpg,26.74,0.6722,85.26,11.74
4002.jpg,26.03,0.7841,87.58,12.73
4008.jpg,27.22,0.7375,84.99,11.1
4018.jpg,24.7,0.7598,82.14,14.84
4023.jpg,26.22,0.738,82.59,12.47
4049.jpg,27.93,0.8023,89.05,10.23
4056.jpg,28.3,0.8047,90.19,9.81
4061.jpg,27.2,0.7493,86.77,11.13
4063.jpg,29.83,0.8008,94.82,8.22
4065.jpg,26.93,0.792,87.37,11.48
4067.jpg,27.45,0.7842,89.95,10.81
4075.jpg,25.36,0.7127,80.75,13.76
4089.jpg,25.55,0.7721,85.69,13.46
410.jpg,26.34,0.7564,86.83,12.29
411.jpg,27.61,0.8087,91.9,10.62
4111.jpg,23.99,0.6278,76.65,16.12
4114.jpg,25.84,0.7908,88.47,13.02
4116.jpg,25.48,0.7316,83.9,13.57
4127.jpg,25.92,0.7416,85.23,12.91
4130.jpg,26.67,0.7472,86.31,11.83
4134.jpg,24.58,0.7384,80.15,15.04
4137.jpg,26.72,0.7865,84.46,11.76
414.jpg,25.47,0.7612,87.51,13.59
4140.jpg,27.16,0.6689,87.45,11.19
4143.jpg,25.11,0.6362,78.05,14.16
4145.jpg,25.01,0.7055,83.67,14.32
4147.jpg,28.98,0.8179,92.16,9.07
4158.jpg,26.29,0.7023,81.04,12.36
4166.jpg,26.18,0.6961,84.36,12.51
4180.jpg,27.58,0.7136,85.64,10.65
4196.jpg,30.67,0.814,97.0,7.46
42.jpg,30.13,0.8504,95.61,7.95
4202.jpg,25.99,0.7296,80.55,12.8
421.jpg,24.11,0.6772,77.98,15.88
4210.jpg,26.13,0.7416,88.6,12.59
4212.jpg,25.86,0.7468,80.48,12.98
4216.jpg,26.02,0.725,84.24,12.76
4219.jpg,24.68,0.6912,80.51,14.88
4220.jpg,23.84,0.6544,81.06,16.39
4226.jpg,26.45,0.7561,85.37,12.13
4233.jpg,25.24,0.6377,78.59,13.95
4237.jpg,25.58,0.7293,82.35,13.42
4246.jpg,24.18,0.7028,81.02,15.75
4247.jpg,26.6,0.7237,85.65,11.92
4265.jpg,29.01,0.839,93.65,9.04
4271.jpg,22.48,0.5707,65.68,19.17
4285.jpg,26.93,0.7299,84.7,11.48
4286.jpg,27.46,0.761,86.76,10.8
4289.jpg,26.67,0.6879,90.27,11.83
4293.jpg,29.49,0.7503,94.04,8.55
4294.jpg,27.35,0.7618,88.33,10.94
4305.jpg,24.56,0.7571,88.82,15.08
4309.jpg,27.71,0.7738,89.43,10.49
4313.jpg,25.3,0.6852,83.81,13.86
4315.jpg,27.61,0.694,90.79,10.61
432.jpg,23.55,0.7133,84.51,16.95
4327.jpg,25.81,0.6952,83.05,13.07
4331.jpg,27.23,0.7846,88.74,11.09
4335.jpg,23.79,0.6243,72.37,16.48
4348.jpg,26.83,0.6847,88.6,11.62
4350.jpg,26.39,0.7222,84.4,12.22
4355.jpg,28.85,0.8,91.49,9.21
4374.jpg,27.69,0.7676,89.03,10.52
438.jpg,28.26,0.7413,88.19,9.86
4381.jpg,27.17,0.7473,87.1,11.17
4384.jpg,27.28,0.78,90.06,11.03
4386.jpg,30.76,0.8849,98.16,7.39
4388.jpg,31.41,0.8628,97.45,6.85
4394.jpg,27.46,0.8223,92.0,10.8
44.jpg,25.14,0.7185,80.85,14.11
4403.jpg,29.18,0.8243,93.63,8.87
442.jpg,25.64,0.6843,81.61,13.32
4421.jpg,26.11,0.8678,88.59,12.61
4426.jpg,27.7,0.7976,90.24,10.51
443.jpg,32.94,0.9195,100.13,5.75
4431.jpg,27.93,0.802,88.58,10.24
4435.jpg,26.95,0.7662,91.13,11.46
4437.jpg,24.74,0.6847,79.42,14.78
4443.jpg,25.85,0.6918,81.11,13.01
4444.jpg,27.39,0.8033,88.71,10.89
4445.jpg,29.49,0.8013,93.26,8.55
4455.jpg,28.54,0.8488,92.1,9.54
4461.jpg,27.68,0.7516,87.9,10.53
448.jpg,28.9,0.8391,93.46,9.15
4481.jpg,25.96,0.6739,79.62,12.84
4491.jpg,28.13,0.8096,92.3,10.0
4496.jpg,25.0,0.6003,82.14,14.35
4504.jpg,24.07,0.6685,75.43,15.95
4507.jpg,27.64,0.8002,88.66,10.58
4516.jpg,24.89,0.6986,80.66,14.52
4517.jpg,30.24,0.8354,96.23,7.84
4520.jpg,26.88,0.7593,87.66,11.55
4522.jpg,27.18,0.7172,84.6,11.16
4532.jpg,29.51,0.8071,93.04,8.54
4542.jpg,25.91,0.7093,81.62,12.92
4544.jpg,24.01,0.6278,75.83,16.07
4557.jpg,26.5,0.7057,83.27,12.07
4563.jpg,25.71,0.6948,80.36,13.21
4580.jpg,26.94,0.7393,88.23,11.47
4582.jpg,24.5,0.7374,87.19,15.18
4585.jpg,24.2,0.6791,77.13,15.73
4586.jpg,25.48,0.6909,80.35,13.58
4598.jpg,25.47,0.6571,83.53,13.59
4599.jpg,22.81,0.5755,73.28,18.46
4605.jpg,26.09,0.7708,89.49,12.64
4608.jpg,24.55,0.6574,75.78,15.11
4612.jpg,25.28,0.6908,77.56,13.89
4613.jpg,28.76,0.8006,90.04,9.3
4626.jpg,26.98,0.6993,84.72,11.42
4628.jpg,20.2,0.6791,70.37,24.92
4630.jpg,28.38,0.8014,92.04,9.72
4638.jpg,20.59,0.6806,69.93,23.82
4645.jpg,27.55,0.7655,88.5,10.69
4647.jpg,23.89,0.6186,75.66,16.3
4650.jpg,27.74,0.7781,92.53,10.47
4652.jpg,25.99,0.7473,85.71,12.79
4658.jpg,27.31,0.7843,91.04,10.99
4660.jpg,26.39,0.7429,84.81,12.22
4661.jpg,28.73,0.8521,93.46,9.33
4664.jpg,26.99,0.7632,85.21,11.41
4666.jpg,30.06,0.7431,94.2,8.01
4674.jpg,29.74,0.788,93.42,8.3
468.jpg,28.18,0.7902,90.22,9.94
4684.jpg,26.16,0.7154,84.62,12.55
4694.jpg,26.15,0.7313,82.03,12.57
4696.jpg,24.41,0.7777,80.9,15.34
4701.jpg,28.93,0.7716,91.18,9.12
4703.jpg,27.63,0.7718,88.18,10.6
4705.jpg,20.3,0.7397,81.75,24.64
4707.jpg,28.54,0.7386,92.92,9.54
471.jpg,26.08,0.7031,85.23,12.66
4710.jpg,26.95,0.7073,82.93,11.45
4716.jpg,25.95,0.6332,85.59,12.85
4727.jpg,27.39,0.7453,88.29,10.89
4731.jpg,27.54,0.7319,86.88,10.7
4744.jpg,30.05,0.8306,96.86,8.02
4761.jpg,23.13,0.6596,78.14,17.79
4762.jpg,25.05,0.6599,76.46,14.26
4771.jpg,25.51,0.7033,81.15,13.52
4774.jpg,24.98,0.6956,83.28,14.37
4788.jpg,29.09,0.8082,93.38,8.96
4791.jpg,26.46,0.7509,86.34,12.12
4798.jpg,27.36,0.7376,89.95,10.92
4800.jpg,26.91,0.8009,87.69,11.51
4820.jpg,26.58,0.7372,86.52,11.95
4823.jpg,27.19,0.7013,84.47,11.15
4831.jpg,22.34,0.6231,71.15,19.47
4842.jpg,27.76,0.8094,88.42,10.43
4848.jpg,27.66,0.7558,87.02,10.56
4851.jpg,27.63,0.7326,89.38,10.59
4857.jpg,29.12,0.7984,94.47,8.92
4864.jpg,26.74,0.7209,87.54,11.74
4868.jpg,26.67,0.676,80.52,11.84
4870.jpg,29.45,0.8366,93.44,8.59
488.jpg,30.42,0.7889,94.98,7.68
4888.jpg,26.91,0.6908,84.33,11.5
4890.jpg,26.15,0.6886,83.85,12.56
4899.jpg,28.16,0.7327,89.61,9.96
49.jpg,29.46,0.8324,95.22,8.58
4901.jpg,25.78,0.6855,81.04,13.1
4918.jpg,28.63,0.7567,90.18,9.44
4941.jpg,22.82,0.6424,74.57,18.42
4944.jpg,25.67,0.6599,79.52,13.27
4945.jpg,23.3,0.6871,77.69,17.44
4948.jpg,24.99,0.7037,76.49,14.36
4949.jpg,23.4,0.6121,74.4,17.23
4950.jpg,27.21,0.7377,88.14,11.12
4954.jpg,25.84,0.6342,80.85,13.02
496.jpg,29.75,0.8277,93.15,8.3
4961.jpg,23.81,0.5817,80.28,16.44
4963.jpg,28.36,0.7346,90.4,9.74
4968.jpg,27.93,0.7442,92.02,10.23
4970.jpg,25.82,0.7185,80.88,13.05
4979.jpg,28.82,0.7524,90.7,9.24
4987.jpg,28.45,0.7381,91.05,9.64
499.jpg,27.02,0.7713,89.29,11.37
4994.jpg,27.82,0.7732,87.78,10.36
4996.jpg,24.77,0.6368,78.55,14.73
4998.jpg,24.31,0.6471,76.49,15.53
500.jpg,26.16,0.723,82.04,12.55
5001.jpg,25.49,0.7208,80.38,13.56
5004.jpg,26.7,0.7611,85.87,11.79
5006.jpg,26.3,0.6665,89.46,12.35
5016.jpg,28.53,0.7618,90.0,9.55
5017.jpg,25.73,0.7689,83.99,13.19
5021.jpg,24.08,0.7761,85.09,15.94
5030.jpg,28.52,0.7909,92.2,9.56
5032.jpg,31.08,0.8733,97.64,7.12
5037.jpg,28.36,0.8946,93.98,9.74
5042.jpg,25.53,0.7348,83.39,13.49
5045.jpg,24.82,0.6827,78.83,14.64
5052.jpg,29.25,0.8013,92.06,8.79
5054.jpg,28.81,0.7592,89.77,9.25
5067.jpg,26.15,0.7465,85.57,12.56
5069.jpg,26.06,0.793,88.09,12.69
507.jpg,27.25,0.7367,85.74,11.07
5071.jpg,27.44,0.7545,87.91,10.83
5075.jpg,26.39,0.6912,80.56,12.22
5076.jpg,26.67,0.7841,90.01,11.83
5086.jpg,27.83,0.7626,86.27,10.35
5093.jpg,26.09,0.6409,83.46,12.64
5094.jpg,27.42,0.7415,85.66,10.85
5095.jpg,30.33,0.8893,96.88,7.76
5098.jpg,28.74,0.7894,91.97,9.32
5110.jpg,25.01,0.6483,77.94,14.32
5113.jpg,25.33,0.6112,80.31,13.81
5115.jpg,27.16,0.728,85.52,11.19
5122.jpg,27.28,0.6839,89.04,11.03
5127.jpg,27.89,0.8121,91.19,10.28
5140.jpg,26.98,0.7193,88.03,11.41
5145.jpg,30.72,0.7576,96.26,7.42
5148.jpg,24.66,0.7497,82.81,14.91
5150.jpg,27.29,0.7866,90.93,11.02
5151.jpg,26.92,0.7511,83.91,11.5
5155.jpg,23.7,0.6327,76.38,16.66
5156.jpg,25.57,0.6832,79.52,13.42
5160.jpg,27.85,0.7742,91.92,10.33
5163.jpg,24.64,0.6594,74.42,14.94
5178.jpg,27.82,0.803,88.51,10.36
5179.jpg,23.59,0.6127,75.87,16.86
5182.jpg,26.67,0.8681,92.43,11.84
5184.jpg,27.84,0.799,92.19,10.34
5188.jpg,24.17,0.6254,74.04,15.78
5197.jpg,28.35,0.7304,91.43,9.75
5215.jpg,27.78,0.7673,89.36,10.41
5219.jpg,27.31,0.74,88.37,10.99
5220.jpg,26.73,0.716,86.78,11.75
5228.jpg,27.84,0.763,88.37,10.34
5262.jpg,26.67,0.7006,82.98,11.84
5263.jpg,28.94,0.7767,92.31,9.11
5268.jpg,28.55,0.8357,93.42,9.53
5273.jpg,23.64,0.7091,75.16,16.78
5279.jpg,28.42,0.8005,91.09,9.67
5280.jpg,28.54,0.7866,89.86,9.54
5281.jpg,27.37,0.7308,87.77,10.92
5282.jpg,21.94,0.6482,71.0,20.4
5283.jpg,25.46,0.6964,83.72,13.6
5289.jpg,27.86,0.7293,87.18,10.32
5291.jpg,26.39,0.7076,82.46,12.22
5292.jpg,27.62,0.7898,91.13,10.6
5293.jpg,26.1,0.6976,83.56,12.63
5295.jpg,26.26,0.6715,79.26,12.4
5298.jpg,25.54,0.6996,78.92,13.47
5300.jpg,24.94,0.6811,77.43,14.44
5306.jpg,24.59,0.7111,83.19,15.04
5310.jpg,23.9,0.6533,74.33,16.27
5316.jpg,28.67,0.7537,90.59,9.4
5319.jpg,27.34,0.7425,86.85,10.95
5324.jpg,25.9,0.6955,80.8,12.92
533.jpg,26.15,0.7402,88.16,12.57
5331.jpg,25.12,0.7849,87.2,14.14
5334.jpg,26.54,0.7568,90.01,12.01
534.jpg,26.24,0.7745,87.75,12.44
5340.jpg,28.29,0.7628,89.75,9.82
5345.jpg,29.1,0.7925,92.29,8.95
5358.jpg,28.39,0.8242,91.0,9.71
5362.jpg,26.02,0.6978,82.76,12.76
5363.jpg,28.66,0.7825,91.24,9.41
5368.jpg,27.04,0.7053,85.4,11.34
5372.jpg,24.99,0.6435,78.95,14.36
5376.jpg,26.63,0.7731,88.79,11.88
5394.jpg,23.36,0.6746,74.04,17.31
5395.jpg,30.23,0.7758,96.65,7.85
5397.jpg,29.4,0.8848,94.01,8.64
5401.jpg,28.48,0.7709,90.81,9.6
5406.jpg,30.6,0.8463,96.4,7.53
542.jpg,26.36,0.7241,85.39,12.26
5424.jpg,22.93,0.5861,70.58,18.19
5431.jpg,27.42,0.7555,85.45,10.86
5434.jpg,27.7,0.7469,89.41,10.5
5442.jpg,29.99,0.8187,95.73,8.07
5452.jpg,29.14,0.7797,92.23,8.9
5459.jpg,25.17,0.7333,84.62,14.06
5461.jpg,27.1,0.7573,86.91,11.26
5469.jpg,27.27,0.7012,89.62,11.04
5477.jpg,25.6,0.7145,83.77,13.39
5478.jpg,26.81,0.7415,88.79,11.64
5489.jpg,27.47,0.8219,89.27,10.8
5491.jpg,24.52,0.7342,79.84,15.16
5502.jpg,27.96,0.7393,88.09,10.2
5503.jpg,26.22,0.7275,84.41,12.45
5504.jpg,28.22,0.7033,87.2,9.9
5508.jpg,28.28,0.7717,90.06,9.83
5511.jpg,29.25,0.8641,93.15,8.79
5521.jpg,29.09,0.8021,91.88,8.96
5522.jpg,27.27,0.6652,89.27,11.04
5530.jpg,26.35,0.6674,86.92,12.27
5535.jpg,27.77,0.7565,88.19,10.42
5536.jpg,28.43,0.8065,90.15,9.66
5537.jpg,26.8,0.763,88.1,11.65
5548.jpg,27.18,0.836,89.59,11.16
5549.jpg,25.94,0.6425,78.81,12.87
5554.jpg,26.92,0.7343,86.96,11.49
5556.jpg,27.21,0.7354,86.42,11.11
5558.jpg,28.28,0.7673,87.93,9.83
5569.jpg,30.0,0.8385,94.34,8.06
5573.jpg,26.51,0.8203,89.22,12.06
5574.jpg,23.89,0.586,68.38,16.3
5575.jpg,26.24,0.6224,81.6,12.43
5590.jpg,25.66,0.6929,82.43,13.3
5592.jpg,24.91,0.7111,82.38,14.49
5593.jpg,26.72,0.7669,85.6,11.77
5599.jpg,27.08,0.8052,90.37,11.29
5601.jpg,25.42,0.6983,79.37,13.66
5603.jpg,24.72,0.6821,77.63,14.81
5608.jpg,25.48,0.6627,76.97,13.57
5616.jpg,27.33,0.8167,91.95,10.96
5622.jpg,22.97,0.6592,72.62,18.11
5623.jpg,22.71,0.6858,82.07,18.67
5628.jpg,24.07,0.7185,83.11,15.95
5635.jpg,27.93,0.7137,86.76,10.23
5636.jpg,28.12,0.7391,88.14,10.02
5639.jpg,25.71,0.6609,81.17,13.21
5644.jpg,29.9,0.8225,94.34,8.16
5649.jpg,27.56,0.7819,92.43,10.67
5659.jpg,27.67,0.7463,86.73,10.55
5661.jpg,26.92,0.7676,87.63,11.49
5666.jpg,26.88,0.7781,89.13,11.55
5668.jpg,27.54,0.7622,85.88,10.7
5683.jpg,28.31,0.7821,90.24,9.8
5684.jpg,26.19,0.7105,81.06,12.5
5696.jpg,27.58,0.7256,88.57,10.65
5707.jpg,29.85,0.8413,94.23,8.21
571.jpg,27.58,0.7682,86.51,10.66
5714.jpg,28.68,0.7971,90.4,9.39
5734.jpg,25.81,0.7058,80.93,13.06
5739.jpg,30.97,0.8691,97.59,7.21
5742.jpg,25.76,0.6336,80.05,13.13
5755.jpg,25.5,0.6483,77.33,13.54
5757.jpg,26.3,0.7142,84.64,12.34
576.jpg,27.49,0.8708,93.56,10.77
5768.jpg,27.5,0.7728,88.48,10.75
5770.jpg,27.29,0.6937,87.1,11.02
5771.jpg,23.25,0.7081,76.67,17.53
5775.jpg,25.16,0.8077,88.47,14.07
5782.jpg,29.16,0.8662,94.76,8.88
5785.jpg,21.5,0.6936,76.48,21.45
58.jpg,27.4,0.7869,90.58,10.88
5800.jpg,26.55,0.7948,90.01,11.99
5801.jpg,24.61,0.7202,82.67,15.0
5802.jpg,27.36,0.7509,86.98,10.93
5807.jpg,24.93,0.6726,79.54,14.45
5809.jpg,27.07,0.798,90.2,11.3
5811.jpg,26.36,0.7819,85.77,12.26
5822.jpg,29.97,0.8633,94.68,8.09
5823.jpg,25.58,0.6783,76.5,13.41
5838.jpg,27.95,0.7504,88.47,10.21
5844.jpg,27.38,0.7355,86.43,10.9
5848.jpg,27.68,0.7746,91.78,10.53
5856.jpg,27.09,0.7713,86.98,11.27
5858.jpg,26.97,0.71,86.13,11.43
586.jpg,25.45,0.641,81.0,13.62
5861.jpg,28.66,0.7884,91.69,9.41
5882.jpg,25.15,0.6987,78.49,14.09
5885.jpg,24.77,0.7524,80.09,14.73
5887.jpg,27.64,0.8596,94.76,10.58
5889.jpg,26.8,0.8291,91.31,11.66
5894.jpg,27.47,0.7594,88.43,10.79
5906.jpg,24.7,0.7566,81.94,14.84
5908.jpg,26.89,0.7644,85.72,11.53
5909.jpg,27.06,0.803,90.22,11.31
5919.jpg,25.72,0.71,80.18,13.19
5920.jpg,24.21,0.6844,78.69,15.7
5926.jpg,27.57,0.7368,87.5,10.66
5930.jpg,28.89,0.8426,93.51,9.16
5933.jpg,31.75,0.8357,98.08,6.59
595.jpg,27.74,0.6743,90.72,10.46
5952.jpg,28.59,0.7906,91.9,9.49
596.jpg,29.68,0.815,94.98,8.37
5974.jpg,28.88,0.8376,94.31,9.17
5978.jpg,27.03,0.7295,84.06,11.36
5979.jpg,26.21,0.7744,87.88,12.47
5980.jpg,23.01,0.6479,70.45,18.04
5986.jpg,25.25,0.7157,83.75,13.93
5989.jpg,25.7,0.677,82.47,13.24
5996.jpg,22.63,0.6732,74.61,18.83
60.jpg,26.71,0.7334,87.46,11.78
6010.jpg,21.97,0.7699,76.23,20.33
6012.jpg,26.01,0.6556,80.56,12.77
6018.jpg,29.9,0.83,94.31,8.16
6028.jpg,26.98,0.7255,87.15,11.42
6034.jpg,25.62,0.708,83.48,13.36
6039.jpg,28.07,0.7084,90.67,10.07
6042.jpg,26.56,0.7388,85.48,11.98
6045.jpg,23.05,0.6154,71.31,17.94
6050.jpg,30.04,0.8542,95.91,8.02
6052.jpg,26.58,0.7639,84.94,11.96
6066.jpg,29.54,0.8273,94.34,8.51
6070.jpg,25.55,0.784,87.28,13.46
6074.jpg,29.57,0.7773,95.15,8.47
6078.jpg,25.01,0.7243,79.7,14.33
6079.jpg,28.86,0.7689,90.74,9.19
6086.jpg,25.75,0.6977,80.13,13.16
6087.jpg,26.7,0.7762,85.34,11.79
6091.jpg,26.7,0.7295,84.17,11.79
6104.jpg,27.08,0.7826,86.65,11.28
6105.jpg,26.96,0.6902,84.97,11.45
6109.jpg,29.31,0.7972,91.28,8.73
6111.jpg,26.59,0.7955,86.97,11.94
6118.jpg,24.97,0.8016,88.55,14.39
6124.jpg,26.26,0.7318,84.49,12.4
6130.jpg,32.41,0.7796,98.87,6.11
614.jpg,24.21,0.6774,78.12,15.7
615.jpg,29.23,0.6653,93.9,8.81
6154.jpg,25.35,0.6893,81.58,13.77
6157.jpg,23.84,0.5912,77.48,16.38
6158.jpg,28.66,0.8354,92.07,9.41
6160.jpg,27.9,0.8125,88.86,10.27
6164.jpg,29.7,0.8256,97.05,8.35
6169.jpg,25.1,0.7051,82.35,14.17
6171.jpg,25.42,0.6456,78.87,13.66
6172.jpg,25.68,0.6939,79.96,13.27
6175.jpg,28.65,0.7786,91.25,9.42
6177.jpg,25.83,0.7136,82.69,13.03
6195.jpg,26.9,0.7497,85.22,11.53
6206.jpg,25.53,0.7142,77.08,13.49
6207.jpg,23.49,0.6804,79.01,17.07
621.jpg,27.97,0.8015,89.99,10.19
622.jpg,28.32,0.7924,90.49,9.78
6227.jpg,30.15,0.8894,95.28,7.93
6231.jpg,31.24,0.8559,98.18,6.99
6243.jpg,25.35,0.7028,77.53,13.77
6244.jpg,29.27,0.8183,92.92,8.77
6246.jpg,27.29,0.7457,86.61,11.02
6258.jpg,25.05,0.7496,80.64,14.26
6261.jpg,26.93,0.7362,85.07,11.48
6266.jpg,29.26,0.7972,92.4,8.78
6282.jpg,25.31,0.7207,85.23,13.84
6296.jpg,26.02,0.7252,82.02,12.75
6298.jpg,29.27,0.7894,93.38,8.77
6300.jpg,28.63,0.779,92.22,9.44
6305.jpg,27.63,0.8359,88.35,10.59
6308.jpg,27.7,0.7655,88.43,10.51
6309.jpg,27.52,0.7806,89.27,10.73
6314.jpg,25.83,0.6869,85.27,13.03
633.jpg,28.56,0.6937,89.19,9.52
6330.jpg,23.55,0.57,71.79,16.95
6332.jpg,25.37,0.7652,87.16,13.74
6336.jpg,25.77,0.7533,82.6,13.12
6353.jpg,27.59,0.8086,91.92,10.64
6358.jpg,25.3,0.7581,86.07,13.85
6369.jpg,25.74,0.6852,80.88,13.17
6375.jpg,26.7,0.7219,82.76,11.8
6376.jpg,29.01,0.7775,91.57,9.04
6385.jpg,27.75,0.8199,90.73,10.45
6387.jpg,26.03,0.7514,86.76,12.74
6395.jpg,27.24,0.7936,86.51,11.08
6405.jpg,24.06,0.6737,84.56,15.98
6415.jpg,26.24,0.8437,88.88,12.43
6420.jpg,24.54,0.7701,87.19,15.12
6423.jpg,27.41,0.7196,85.61,10.87
6432.jpg,27.31,0.7683,85.59,10.99
6436.jpg,25.49,0.7753,82.73,13.56
6441.jpg,26.11,0.6849,84.25,12.62
6445.jpg,29.13,0.8117,91.35,8.92
6456.jpg,26.15,0.7304,80.48,12.57
6457.jpg,26.09,0.757,86.22,12.66
6470.jpg,28.69,0.8022,91.29,9.37
6475.jpg,24.61,0.6989,79.65,15.0
6481.jpg,26.33,0.6742,86.02,12.31
6494.jpg,26.82,0.6936,85.37,11.63
6506.jpg,22.94,0.5342,72.23,18.19
6509.jpg,23.58,0.645,75.81,16.88
6513.jpg,24.84,0.7613,84.63,14.61
652.jpg,22.86,0.6762,77.9,18.34
6524.jpg,26.97,0.7227,84.08,11.43
6529.jpg,25.37,0.7824,91.4,13.74
653.jpg,29.94,0.7627,94.36,8.12
6536.jpg,25.24,0.6741,78.9,13.95
6541.jpg,28.21,0.7912,89.27,9.9
6543.jpg,26.62,0.7144,88.27,11.9
6546.jpg,27.85,0.7438,88.2,10.33
6547.jpg,26.39,0.7507,84.56,12.22
6558.jpg,26.77,0.7726,85.04,11.7
6567.jpg,25.76,0.6676,80.8,13.14
657.jpg,27.39,0.7595,88.48,10.88
6576.jpg,23.89,0.8873,90.93,16.29
6581.jpg,25.58,0.6632,77.75,13.41
6588.jpg,26.0,0.6472,80.73,12.79
659.jpg,25.81,0.756,84.03,13.07
6592.jpg,24.78,0.644,82.76,14.71
6597.jpg,30.17,0.7881,95.56,7.9
6598.jpg,22.63,0.6409,71.96,18.83
6600.jpg,26.11,0.7529,84.49,12.63
6618.jpg,26.9,0.7159,86.5,11.52
6620.jpg,27.28,0.777,86.42,11.03
6623.jpg,22.4,0.7056,73.35,19.34
6624.jpg,27.58,0.7776,87.99,10.65
6634.jpg,24.98,0.6746,74.71,14.37
666.jpg,27.59,0.8297,90.65,10.65
6670.jpg,27.12,0.7083,85.41,11.24
6675.jpg,26.76,0.7755,88.13,11.71
6684.jpg,23.95,0.5567,69.95,16.18
6687.jpg,26.61,0.7808,87.53,11.91
6690.jpg,28.08,0.7733,91.42,10.06
6696.jpg,28.48,0.8276,94.08,9.61
6697.jpg,27.08,0.734,87.75,11.28
6702.jpg,23.68,0.6303,75.54,16.7
6720.jpg,28.78,0.7954,91.81,9.28
6729.jpg,26.5,0.6765,80.86,12.06
6730.jpg,25.7,0.7466,83.5,13.23
6736.jpg,25.05,0.7256,78.71,14.26
6743.jpg,29.58,0.826,95.51,8.46
6745.jpg,27.95,0.8068,91.44,10.21
6747.jpg,25.84,0.7036,81.92,13.02
6748.jpg,26.47,0.7264,87.2,12.11
6751.jpg,25.82,0.7192,83.63,13.05
6753.jpg,21.31,0.5705,69.36,21.93
6755.jpg,28.53,0.771,91.83,9.55
6757.jpg,26.68,0.6963,84.51,11.82
6760.jpg,29.84,0.8416,96.14,8.21
6761.jpg,25.91,0.6976,86.51,12.92
6769.jpg,27.39,0.7969,90.76,10.89
677.jpg,24.48,0.6308,75.15,15.23
6771.jpg,24.42,0.6599,74.96,15.32
6775.jpg,27.82,0.7326,87.07,10.36
6776.jpg,28.21,0.8211,90.58,9.91
6778.jpg,26.85,0.771,87.24,11.59
6779.jpg,24.37,0.6267,74.84,15.42
6788.jpg,28.69,0.7154,90.78,9.38
6802.jpg,25.49,0.6397,79.44,13.55
6816.jpg,24.16,0.6406,76.42,15.8
6818.jpg,24.18,0.7402,84.66,15.75
6819.jpg,26.74,0.7374,85.54,11.74
682.jpg,27.35,0.766,85.5,10.94
6824.jpg,26.73,0.7777,89.29,11.75
684.jpg,24.4,0.6658,74.2,15.36
6841.jpg,26.96,0.7572,88.78,11.45
6846.jpg,28.79,0.7916,92.54,9.27
6850.jpg,30.05,0.8294,95.9,8.02
686.jpg,29.81,0.8372,96.58,8.24
6863.jpg,27.07,0.7389,84.1,11.3
6864.jpg,27.06,0.777,86.33,11.31
6865.jpg,24.27,0.7766,79.58,15.6
6870.jpg,23.62,0.7416,82.99,16.82
6871.jpg,27.21,0.689,87.47,11.12
6873.jpg,28.13,0.7562,89.96,10.0
6882.jpg,23.49,0.6437,78.41,17.07
6886.jpg,25.03,0.7008,80.67,14.28
6891.jpg,24.58,0.6237,73.82,15.06
